title,department,policy_text,category
Performance Review Policy,Sales,Employees receive formal performance reviews annually.,Human Resources
Dress Code Policy,Facilities,Employees are expected to dress in business casual attire.,Workplace
Warranty Policy,Sales,Products are covered under warranty for one year.,Customer Service
Account Management Policy,Sales,Accounts must be reviewed quarterly.,Customer Service
Anti-Harassment Policy,Marketing,Harassment of any kind is not tolerated.,Compliance
Recognition Program Policy,Facilities,Employees may nominate peers for recognition awards.,Human Resources
Software Installation Policy,Sales,Only approved software may be installed on company devices.,IT & Security
Workplace Accommodation Policy,Finance,Employees may request reasonable accommodations.,Human Resources
Data Privacy Policy,Operations,Employees must protect customer data and follow privacy regulations.,Compliance
Work From Abroad Policy,Facilities,Employees may work abroad for up to 30 days with approval.,Remote Work
File Naming Policy,Marketing,Files must follow naming conventions for easy retrieval.,Operations
Churn Prevention Policy,Sales,Customer churn must be analyzed and addressed.,Customer Service
Event Sponsorship Policy,Facilities,Event sponsorships must align with company goals.,Finance & Expense
Company Vehicle Policy,Legal,Use of company vehicles must be logged and approved.,Operations
Onboarding Policy,Sales,New hires must complete onboarding within their first week.,Human Resources
Legal Hold Policy,IT,Legal holds must be applied to relevant documents.,Compliance
Budget Planning Policy,HR,Departments must submit budgets by Q4.,Finance & Expense
Holiday Schedule Policy,Facilities,Company holidays are published annually and observed accordingly.,Human Resources
Support Ticket Policy,Operations,Support tickets must be resolved within SLA.,IT & Security
Supplier Evaluation Policy,Facilities,Suppliers must be evaluated annually.,Operations
Parking Policy,HR,Parking spaces are assigned and must be used accordingly.,Workplace
Equal Opportunity Policy,HR,The company is committed to equal opportunity employment.,Compliance
Customer Interaction Policy,Operations,Employees must maintain professionalism in all customer interactions.,Customer Service
Customer Feedback Policy,Operations,Customer feedback must be logged and reviewed.,Customer Service
Marketing Approval Policy,Operations,Marketing materials must be approved before release.,Operations
Remote Work Policy,Facilities,Employees may work remotely up to three days per week with manager approval.,Remote Work
Code of Conduct,Legal,All employees must adhere to professional behavior standards.,Compliance
Meeting Room Booking Policy,Sales,Meeting rooms must be booked in advance using the portal.,Workplace
Internal Communication Policy,IT,Use company channels for internal communication.,Operations
Mobile Device Policy,IT,Employees may request company-issued mobile devices for work.,IT & Security
Training Reimbursement Policy,Sales,Employees may be reimbursed for approved external training.,Finance & Expense
Client Gift Policy,HR,Client gifts must comply with company guidelines.,Compliance
